license,name,entity,estab_type,address,city,zip,borough,sqft,size_class,is_supermarket,lon,lat
600005,ADDEO BAKERS,ADDEO BAKERS INC,ABCHK,2372 HUGHES AVE,BRONX,10458,Bronx,4000,Small supermarket or grocer,True,-73.88745,40.85451
600049,C TOWN,NANIN FOOD CORP,AC,2733 3RD AVE,BRONX,10451,Bronx,10000,Large supermarket,True,-73.9211,40.81425
600057,S&S CHEESECAKE,S&S CHEESECAKE INC,ABCHK,222 W 238TH ST,BRONX,10463,Bronx,4000,Small supermarket or grocer,True,-73.89981,40.88484
600103,SCALINADA MEAT GROC&DEL,SILJKOVIC RABA&VEZIRA,AC,667 E 187TH ST,BRONX,10458,Bronx,800,Corner store or specialty,True,-73.88565,40.85461
600187,ALMANZAR GROCERY&FOOD,ALMANZAR GROCERY&FOOD CORP,AC,854 INTERVALE AVE,BRONX,10459,Bronx,1000,Corner store or specialty,True,-73.89562,40.81801
600205,CARINO GROCERY,CARINO DELI GROCERY CORP,AC,643 E 182ND ST. ###,BRONX,10457,Bronx,1200,Corner store or specialty,True,-73.88864,40.85127
600246,C-TOWN SUPERMARKET,564 GROCERY INC,ABC,564 SOUTHERN BLVD,BRONX,10455,Bronx,8000,Standard supermarket,True,-73.90281,40.81251
600307,WALGREENS 1013,WALGREEN EASTERN CO INC,A,5564 BROADWAY,BRONX,10463,Bronx,20000,Other licensed food retailer,False,-73.90504,40.87863
600314,FRANCIS GROCERY,ER FOOD CORP,AC,3738 3RD AVE,BRONX,10456,Bronx,1000,Corner store or specialty,True,-73.9028,40.83608
600350,RODRIGUEZ GROCERY,RODRIGUEZ RAMON A,AC,753 FOX ST,BRONX,10455,Bronx,1500,Corner store or specialty,True,-73.89822,40.81566
600405,TEITEL BROTHERS,TEITEL BROTHERS INC,AC,2372 ARTHUR AVE,BRONX,10458,Bronx,1000,Corner store or specialty,True,-73.8882,40.85486
600413,BORGATTIS,BORGATTIS RAVIOLI&EGG NOODLES INC,AC,632 E 187TH ST,BRONX,10458,Bronx,1000,Corner store or specialty,True,-73.88645,40.855
600437,MORTON WILLIAMS SPRMRKT,RED&WHITE MARKETS INC,ABC,15 E KINGSBRIDGE RD,BRONX,10468,Bronx,25000,Large supermarket,True,-73.89675,40.86721
600477,GREEN OCEAN FISH MARKET,GREEN OCEAN FISH MARKET CORP,AC,67 E KINGSBRIDGE RD,BRONX,10468,Bronx,1200,Corner store or specialty,True,-73.89586,40.86682
600514,PREMIER FOOD,PREMIER FOOD INC,AC,738 LYDIG AVE,BRONX,10462,Bronx,1300,Corner store or specialty,True,-73.86633,40.85447
600580,MATA E CANA DELI & GRCY,GOMEZ EDWARD,AC,911 E 156TH ST,BRONX,10455,Bronx,1500,Corner store or specialty,True,-73.90103,40.81692
600701,L&V FOOD CENTER,2676 MORRIS FOOD CORP,AC,2676 MORRIS AVE,BRONX,10468,Bronx,1500,Corner store or specialty,True,-73.89613,40.86727
600709,FOOD TOWN,AJC FOOD MARKET CORP,AC,4332 WHITE PLAINS RD,BRONX,10466,Bronx,24000,Large supermarket,True,-73.85574,40.89639
600723,MORRIS PARK MEAT MARKET,MARIOS MEAT MARKET INC,AC,1037 MORRIS PARK AVE,BRONX,10461,Bronx,1000,Corner store or specialty,True,-73.85499,40.84868
600758,MADONIA BROTHERS BAKERY,MADONIA BROTHERS BAKERY INC,ABH,2348 ARTHUR AVE,BRONX,10458,Bronx,3400,Other licensed food retailer,False,-73.88852,40.85444
600770,FINE FARE,C & CBROTHERS OF NY,ABC,59 E 167TH ST,BRONX,10452,Bronx,20000,Large supermarket,True,-73.92058,40.83552
600774,SANTIAGO GROCERY,SANTIAGO MIGUEL,AC,15 W TREMONT AVE. ###,BRONX,10453,Bronx,1500,Corner store or specialty,True,-73.90989,40.85198
600805,TOP BANANA MARKET,ITALCORP INC,ABC,947 CASTLE HILL AVE,BRONX,10473,Bronx,2000,Corner store or specialty,True,-73.84981,40.82664
600931,CASA DORO DELICATESSEN,SMA DELI GROCERY CORP,AC,2487 EASTCHESTER RD,BRONX,10469,Bronx,1000,Corner store or specialty,True,-73.84341,40.86259
600951,FOODTOWN,1489 FOOD CORP,AC,1477-1489 WEST AVE,BRONX,10462,Bronx,5000,Standard supermarket,True,-73.86158,40.83655
600961,A WORLD OF SPICE,A WORLD OF SPICE NY LLC,AC,2164 WESTCHESTER AVE,BRONX,10462,Bronx,1500,Corner store or specialty,True,-73.85218,40.83416
600998,FINE FARE SUPERMARKET,PALERO FOOD CORP,AC,3550 WHITE PLAINS RD,BRONX,10467,Bronx,5500,Standard supermarket,True,-73.86566,40.87827
601041,BILLYS DELI&GROCERY STR,GONZALEZ BILLY G,ABC,83 W FORDHAM RD,BRONX,10468,Bronx,1500,Corner store or specialty,True,-73.90419,40.86275
601129,502 SOUTHERN BLVD GRCY,502 SOUTHERN BLVD GROCERY CORP,AC,502 SOUTHERN BLVD,BRONX,10455,Bronx,1000,Corner store or specialty,True,-73.90533,40.81133
601227,CASADO DELI GROCERY STR,672 E 138TH STREET FOOD CORP,AC,672 E 138TH ST,BRONX,10454,Bronx,1500,Corner store or specialty,True,-73.91431,40.80548
601241,J&A FRUIT&GROCERY CNTR,J&A FRUIT&GROCERY CORP,AC,11-17 E 171ST ST,BRONX,10452,Bronx,1700,Corner store or specialty,True,-73.9161,40.84101
601273,J&C GROCERY,J&C GROCERY OF NY INC,AC,566 E 188TH ST,BRONX,10458,Bronx,1000,Corner store or specialty,True,-73.88792,40.85699
601292,SUPER FRESH SUPERMARKET,PWP EQUITIES CORP,AC,1188 WEBSTER AVE,BRONX,10456,Bronx,15000,Large supermarket,True,-73.91006,40.83151
601293,VAN VAN GROCERY,VAN VAN GROCERY CORP,AC,523 VAN NEST AVE. ###,BRONX,10460,Bronx,1500,Corner store or specialty,True,-73.86995,40.84127
601356,TAYLOR SUPERETTE,TAYLOR SUPERETTE CORP,AC,459 TAYLOR AVE,BRONX,10473,Bronx,600,Corner store or specialty,True,-73.86144,40.81484
601435,KEY FOOD,B&ME FOOD CORP,AC,1050 WESTCHESTER AVE,BRONX,10459,Bronx,15000,Large supermarket,True,-73.8914,40.82494
601470,LLOYDS CARROT CAKE,LLOYDS CARROT CAKE INC,ABCHK,6087 BROADWAY,BRONX,10471,Bronx,800,Corner store or specialty,True,-73.89648,40.89401
